USERID,NAME,SKILLNAME,PROFICIENCYLEVEL
239,Sarah,Artificial intelligence,Intermediate
888,Kalie,,
637,Royal,Android),Advanced
777,Mord,Kanban,Advanced
19,Tripp,AWS cloud computing,Advanced
316,Nicki,,
786,Bamby,,
609,Oralia,Cybersecurity,Advanced
407,Cyndia,DevOps practices,Advanced
975,Leonhard,IT asset management,Intermediate
620,Miranda,,
735,Adrianne,,
180,Merrili,,
193,Theo,Docker containerization,Beginner
249,Haven,,
305,Alta,Infrastructure as Code (IaC),Intermediate
986,Quent,Usability testing,Beginner
16,Janine,Version control systems (e.g.,Advanced
434,Phyllys,ITIL (Information Technology Infrastructure Library),Advanced
693,Joye,Google Cloud Platform,Intermediate
218,Jasun,Network security,Advanced
845,Aylmer,Vendor management,Beginner
343,Mannie,Network security,Advanced
523,Andras,Active listening.,Advanced
781,Gracia,React.js,Advanced
122,Lay,,
46,Olga,Business analysis,Beginner
559,Shannah,,
517,Car,,
826,Charley,Python programming,Beginner
205,Pat,,
963,Rose,Project planning and scheduling,Intermediate
217,Corey,Version control systems (e.g.,Advanced
820,Roth,Social media management,Advanced
534,Jecho,Risk assessment and management,Advanced
65,Addy,PowerShell scripting,Beginner
22,Aleen,,
802,Kristel,IT asset management,Intermediate
849,Kahlil,Business analysis,Advanced
971,Donelle,UI-UX design,Intermediate
224,Duff,,
937,Barby,,
718,Ryann,RESTful APIs,Beginner
558,Dale,Technical writing,Beginner
941,Carolan,,
3,Sam,RESTful APIs,Beginner
847,Vally,,
344,Martyn,Active listening.,Beginner
487,Rudd,,
743,Gwenette,C++ programming,Advanced
314,Lazaro,Active listening.,Intermediate
294,Odey,,
332,Harwilll,Decision-making,Advanced
467,Phil,Linux system administration,Advanced
235,Demetris,Android),Beginner
894,Kassandra,DevOps practices,Beginner
759,Massimiliano,,
608,Chiquita,Problem-solving,Beginner
732,Vito,,
137,Nessa,Cryptography,Intermediate
385,Sean,,
393,Uri,,
591,Janela,,
421,Archibaldo,Bash scripting,Beginner
477,Patric,,
806,Theo,ITIL (Information Technology Infrastructure Library),Advanced
638,Hersh,,
560,Nickolas,Artificial intelligence,Advanced
131,Malcolm,,
428,Donny,,
572,Reina,,
53,Rosalie,,
443,Nicol,Data modeling,Advanced
797,Alma,Prototyping,Beginner
611,Iormina,Prototyping,Intermediate
561,Garvy,Python programming,Intermediate
285,Chan,,
269,Lind,,
746,Ian,Critical thinking,Beginner
101,Seward,Network administration,Advanced
509,Kylie,Vendor management,Advanced
9,Cart,,
962,Renelle,Leadership and team management,Beginner
557,Hulda,Presentation skills,Advanced
511,Barbie,Hadoop,Advanced
348,Larry,Natural language processing,Beginner
139,Kary,,
488,Becca,Process improvement,Advanced
993,Riva,Helpdesk support,Advanced
952,Osmond,Business continuity planning,Advanced
326,Hillery,Scrum,Advanced
580,Ellsworth,Cybersecurity,Advanced
947,Danita,,
52,Arin,SEO (Search Engine Optimization),Advanced
588,Kelsey,Process improvement,Intermediate
60,Druci,Process improvement,Beginner
520,Malorie,Android),Beginner
312,Paule,Risk assessment and management,Intermediate
745,Annis,,
725,Franciska,,
814,Dorri,,
796,Freddi,ITIL (Information Technology Infrastructure Library),Beginner
599,Shelley,,
689,Coralie,SQL database management,Advanced
803,Casey,Agile methodologies,Beginner
178,Gavra,,
387,Devora,Data analysis,Advanced
943,Enrique,Cryptography,Advanced
755,Tammy,ServiceNow,Advanced
766,Steffane,Leadership and team management,Beginner
350,Ransell,,
435,Alain,Machine learning,Beginner
842,Paulie,,
577,Gabriel,,
244,Carmelita,Digital marketing,Beginner
23,Cindie,Process improvement,Intermediate
